"Dolenjske Toplice";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";8932;63280;10520;64848;10581;69530;10109;70014;9134;61273;9710;62777;10362;60306;10460;64786
"Dolenjske Toplice";"Hoteli in podobni nastanitveni objekti";"TUJI";3752;15202;5706;21725;5314;19767;6828;22627;6651;23729;7245;25503;7303;26207;8574;27068
"Dolenjske Toplice";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Dolenjske Toplice";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Dolenjske Toplice";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Dolenjske Toplice";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Laško";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";14012;100387;15166;104312;16793;108762;32081;138518;35161;141775;30609;126464;32585;127278;32443;127768
"Laško";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";12070;39192;12311;37957;16660;55518;22943;75722;28349;98171;32043;99723;33014;97530;36834;108201
"Laško";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";z;z;14782;103706;16708;108565;31896;138123;34927;141240;30384;126010;32309;126684;32067;126894
"Laško";"Hoteli in podobni nastanitveni objekti";"TUJI";z;z;12000;37382;16493;55111;22593;74847;27899;96883;31541;98372;32303;95475;36013;105809
"Laško";"Kampi";"DOMAÈI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Laško";"Kampi";"TUJI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Laško";"Ostali nastanitveni objekti";"DOMAÈI";z;z;384;606;85;197;185;395;234;535;225;454;276;594;376;874
"Laško";"Ostali nastanitveni objekti";"TUJI";z;z;311;575;167;407;350;875;450;1288;502;1351;711;2055;821;2392
"Lendava/Lendva";"Skupine nastanitvenih objektov - SKUPAJ";"DOMAÈI";16371;59757;17550;62897;z;z;18483;66283;18973;64542;18860;62556;20911;67196;21052;66806
"Lendava/Lendva";"Skupine nastanitvenih objektov - SKUPAJ";"TUJI";10564;48094;9365;42919;z;z;10790;45475;11696;46591;12264;47907;11431;47782;11416;48076
"Lendava/Lendva";"Hoteli in podobni nastanitveni objekti";"DOMAÈI";7084;23834;7286;24555;7551;25786;7984;27418;8622;27621;8038;25649;9268;28303;8786;26607
"Lendava/Lendva";"Hoteli in podobni nastanitveni objekti";"TUJI";6439;29102;5165;23930;5371;23060;6465;25273;7351;24740;7462;25078;6276;24726;6176;23194
"Lendava/Lendva";"Kampi";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Lendava/Lendva";"Kampi";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Lendava/Lendva";"Ostali nastanitveni objekti";"DOMAÈI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
"Lendava/Lendva";"Ostali nastanitveni objekti";"TUJI";z;z;z;z;z;z;z;z;z;z;z;z;z;z;z;z
