"2012";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let iz tujine";411.360;68.4
"2012";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let po tujini";163.009;65.0
"2012";"Redni prevoz";"Mednarodni prevoz - SKUPAJ";817.598;69.0
"2012";"Redni prevoz";"Mednarodni prevoz - let v tujino";359.066;68.7
"2012";"Redni prevoz";"Mednarodni prevoz - let iz tujine";356.347;68.8
"2012";"Redni prevoz";"Mednarodni prevoz - let po tujini";102.185;69.9
"2012";"Posebni prevoz";"Mednarodni prevoz - SKUPAJ";170.783;64.4
"2012";"Posebni prevoz";"Mednarodni prevoz - let v tujino";54.946;68.0
"2012";"Posebni prevoz";"Mednarodni prevoz - let iz tujine";55.013;67.2
"2012";"Posebni prevoz";"Mednarodni prevoz - let po tujini";60.824;58.5
"2013";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - SKUPAJ";1026.573;71.8
"2013";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let v tujino";439.549;71.6
"2013";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let iz tujine";437.039;71.5
"2013";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let po tujini";149.985;72.8
"2013";"Redni prevoz";"Mednarodni prevoz - SKUPAJ";856.552;73.1
"2013";"Redni prevoz";"Mednarodni prevoz - let v tujino";385.234;72.5
"2013";"Redni prevoz";"Mednarodni prevoz - let iz tujine";382.632;72.7
"2013";"Redni prevoz";"Mednarodni prevoz - let po tujini";88.686;76.1
"2013";"Posebni prevoz";"Mednarodni prevoz - SKUPAJ";170.021;68.1
"2013";"Posebni prevoz";"Mednarodni prevoz - let v tujino";54.315;68.6
"2013";"Posebni prevoz";"Mednarodni prevoz - let iz tujine";54.407;68.2
"2013";"Posebni prevoz";"Mednarodni prevoz - let po tujini";61.299;67.4
"2014";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - SKUPAJ";1112.857;70.0
"2014";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let v tujino";452.290;69.9
"2014";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let iz tujine";446.270;69.5
"2014";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let po tujini";214.297;71.0
"2014";"Redni prevoz";"Mednarodni prevoz - SKUPAJ";917.015;70.5
"2014";"Redni prevoz";"Mednarodni prevoz - let v tujino";394.394;70.3
"2014";"Redni prevoz";"Mednarodni prevoz - let iz tujine";388.529;70.0
"2014";"Redni prevoz";"Mednarodni prevoz - let po tujini";134.092;71.4
"2014";"Posebni prevoz";"Mednarodni prevoz - SKUPAJ";195.842;68.9
"2014";"Posebni prevoz";"Mednarodni prevoz - let v tujino";57.896;68.7
"2014";"Posebni prevoz";"Mednarodni prevoz - let iz tujine";57.741;68.0
"2014";"Posebni prevoz";"Mednarodni prevoz - let po tujini";80.205;70.2
"2015";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - SKUPAJ";1283.605;67.6
"2015";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let v tujino";479.833;69.2
"2015";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let iz tujine";472.593;68.7
"2015";"Redni/posebni prevoz - SKUPAJ";"Mednarodni prevoz - let po tujini";331.179;65.9
"2015";"Redni prevoz";"Mednarodni prevoz - SKUPAJ";1089.069;67.0
"2015";"Redni prevoz";"Mednarodni prevoz - let v tujino";426.935;68.9
"2015";"Redni prevoz";"Mednarodni prevoz - let iz tujine";419.839;68.3
"2015";"Redni prevoz";"Mednarodni prevoz - let po tujini";242.298;63.6
"2015";"Posebni prevoz";"Mednarodni prevoz - SKUPAJ";194.536;71.3
"2015";"Posebni prevoz";"Mednarodni prevoz - let v tujino";52.898;70.6
"2015";"Posebni prevoz";"Mednarodni prevoz - let iz tujine";52.757;70.4
"2015";"Posebni prevoz";"Mednarodni prevoz - let po tujini";88.881;72.6
