"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Romunija";18274;41777;18660;44590;19462;40959;21799;48216;22298;48736;22380;45993;25730;51831;31026;63000
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Ruska federacija";30585;166119;26842;163903;32690;208341;41360;257173;52476;350319;57576;348098;56156;318592;44449;224986
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Slovaška";17230;43914;16329;39935;17427;43376;19720;50424;21258;49830;21936;55039;25297;61984;29116;70772
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Srbija";50560;125410;51388;131177;76156;201683;80995;209971;78207;203807;80622;206322;81595;205635;86911;220614
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Španija";33568;70341;31409;62432;33670;67276;35687;71737;32563;69396;30575;67346;31072;65577;37535;78611
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Švedska";19686;50364;14955;39039;14028;34592;14986;35819;16614;42096;18057;45898;16857;40801;19566;45172
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Švica";28596;71751;27912;67465;27582;60664;30787;68315;33072;72802;35283;78900;37958;81708;43300;91314
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Turèija";11630;20352;8048;18613;10951;19923;13724;27060;13763;27535;14953;31562;14395;29227;16156;31922
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Ukrajina";13079;51513;10116;36484;16400;43123;24533;59712;30767;73230;28044;75390;22138;68805;22839;66418
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Združeno kraljestvo";86903;299549;69428;231830;68465;238468;70665;240729;69064;226115;74667;244625;75545;235839;93937;279755
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Druge evropske države";9347;26427;10907;32380;11266;29664;13110;38639;15242;48782;21886;60623;18038;49294;19086;49761
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Južna Afrika";899;2428;898;2452;1132;3162;1773;4768;2258;6663;2298;5296;1794;3645;2305;4551
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Druge afriške države";2861;10948;2013;5733;2264;8178;2664;10732;2661;10249;3384;10796;3695;12927;4247;13714
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Avstralija";19709;39289;15308;30786;17695;36419;18461;38064;18216;37793;21229;41532;23441;43739;27322;51713
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Nova Zelandija";3339;6478;3071;6129;3623;7679;3063;7210;3191;6300;3710;7126;3657;7427;4926;10347
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Druge države in ozemlja Oceanije";850;2116;1038;2467;950;3169;978;2137;1149;2552;1879;3812;482;1255;273;497
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Izrael";31625;88498;29110;82258;28713;84657;30153;93915;39595;122174;46862;155816;41080;138683;54702;184359
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Japonska";39733;57093;48182;64712;40455;53761;35321;50840;41398;60278;36437;53200;40852;60342;37218;55785
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Kitajska (Ljudska republika)";4911;10159;5638;11263;8234;15477;11050;21785;15294;23530;19801;29321;24113;36502;37796;54640
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Koreja (Republika)";6386;8373;5138;7426;6625;8716;11563;14974;16397;20744;23356;27640;61978;68059;92421;99856
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Druge azijske države";10624;27313;11793;31538;17071;36743;25631;51129;37361;70597;41433;78684;63596;122240;70585;138436
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Brazilija";2549;6315;2998;6580;3591;6971;4290;8565;6075;12728;9475;18821;9514;19326;10711;20927
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Druge države Južne in Srednje Amerike";4286;10827;4561;11083;4982;10431;6696;15390;6811;16103;7542;17580;8035;19963;12640;27108
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Kanada";9372;22148;8410;20102;9598;22772;10583;24894;11251;25175;12081;26310;13260;28432;15453;32850
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Združene države (ZDA)";46783;111717;37050;84076;41566;96648;45796;104503;51754;122580;59202;130877;65158;145625;74334;165198
"Skupine nastanitvenih objektov - SKUPAJ";"SLOVENIJA";"Druge države in ozemlja Severne Amerika";2711;5700;2317;5516;2204;4592;248;488;32;68;44;79;23;41;36;56
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"DRŽAVE - SKUPAJ";749348;3010999;748525;3003653;751016;2987643;787805;3085952;786671;3090904;789598;3018115;811927;2998959;850126;3035654
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"DOMAÈI";446038;1875362;454901;1894202;448544;1841046;465732;1848971;450488;1748497;446825;1683093;459566;1666165;479756;1710438
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"TUJI";303310;1135637;293624;1109451;302472;1146597;322073;1236981;336183;1342407;342773;1335022;352361;1332794;370370;1325216
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Avstrija";82926;324750;82879;314728;80840;306622;82687;306137;83909;302933;90880;315643;97186;326352;99166;327349
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Belgija";2225;8610;2233;9285;2414;11262;2815;14453;3825;20538;5082;30719;4629;28606;4135;24166
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Bolgarija";2684;4784;3211;4810;2214;3838;2447;4258;2307;3930;1860;3937;2140;3763;2407;4932
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Bosna in Hercegovina";5721;21012;5118;19030;4779;13259;4602;13726;5159;16097;5302;16834;5581;16361;6569;18737
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Ciper";97;307;82;306;20;84;14;54;30;131;29;126;44;220;34;193
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Èeška republika";4885;12008;5402;13415;5667;14829;7670;20859;8324;22387;8660;23991;8740;23995;10098;29665
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Èrna gora";302;1383;273;723;528;1909;653;2390;764;3170;831;2860;970;3243;1376;4477
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Danska";1698;7308;1749;7982;1793;8558;2130;10859;2274;10706;2418;12479;2178;12470;1832;10849
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Estonija";143;888;155;701;142;473;234;715;146;629;177;621;136;493;249;2319
"Skupine nastanitvenih objektov - SKUPAJ";"ZDRAVILIŠKE OBÈINE";"Finska";638;2074;681;2412;594;1562;516;1436;528;1630;465;1314;425;1382;454;1465
