"Prihodi in prenoèitve turistov po: SKUPINE NASTANITVENIH OBJEKTOV,"
"OBÈINE, DRŽAVE, LETO , MERITVE"

"Skupine nastanitvenih objektov - SKUPAJ"
" ";"SLOVENIJA"
" ";" ";"Turèija"
" ";" ";" ";"2008"
" ";" ";" ";"2013"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";21886
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";60623
" ";" ";" ";"2014"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";18038
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";49294
" ";" ";" ";"2015"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";19086
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";49761
" ";" ";" ";"2016"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";20360
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";50390
" ";" ";"Južna Afrika"
" ";" ";" ";"2008"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";899
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";2428
" ";" ";" ";"2009"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";898
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";2452
" ";" ";" ";"2010"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";1132
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";3162
" ";" ";" ";"2011"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";1773
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";4768
" ";" ";" ";"2012"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2258
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";6663
" ";" ";" ";"2013"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2298
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";5296
" ";" ";" ";"2014"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";1794
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";3645
" ";" ";" ";"2015"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2305
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";4551
" ";" ";" ";"2016"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2252
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";5319
" ";" ";"Druge afriške države"
" ";" ";" ";"2008"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2861
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";10948
" ";" ";" ";"2009"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2013
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";5733
" ";" ";" ";"2010"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2264
" ";" ";" ";" ";"Prenoèitve turistov - SKUPAJ";8178
" ";" ";" ";"2011"
" ";" ";" ";" ";"Prihodi turistov - SKUPAJ";2664
