"Lendava/Lendva";"Ostali nastanitveni objekti";...;115;393;319;...;110;378;304;...;114;385;309;...;101;353;280;...;100;346;273;...;102;364;286;...;103;359;285;...;106;367;293
"Moravske Toplice";"Skupine nastanitvenih objektov - SKUPAJ";...;1358;3232;2941;...;1384;3324;3015;...;1407;3671;3345;...;1377;3297;2946;...;1311;3114;2776;...;1310;3155;2805;...;1314;3159;2828;...;1348;3259;2944
"Moravske Toplice";"Hoteli in podobni nastanitveni objekti";15;733;1499;1400;17;751;1562;1449;16;753;1848;1725;14;729;1543;1396;12;686;1416;1290;12;680;1440;1291;12;686;1430;1296;12;688;1415;1296
"Moravske Toplice";"Kampi";1;250;500;500;1;250;500;500;1;250;500;500;1;250;500;500;1;250;500;500;1;250;500;500;1;250;500;500;1;250;500;500
"Moravske Toplice";"Ostali nastanitveni objekti";...;375;1233;1041;...;383;1262;1066;...;404;1323;1120;...;398;1254;1050;...;375;1198;986;...;380;1215;1014;...;378;1229;1032;...;410;1344;1148
"Podèetrtek";"Skupine nastanitvenih objektov - SKUPAJ";...;705;2171;2152;...;688;2140;2127;...;747;2272;2257;...;723;2201;2179;...;744;2258;2233;...;748;2283;2254;...;744;2269;2228;...;742;2257;2212
"Podèetrtek";"Hoteli in podobni nastanitveni objekti";7;447;1101;1093;6;429;1068;1064;8;492;1226;1221;7;481;1196;1182;7;481;1196;1182;8;491;1220;1207;8;489;1215;1192;9;490;1220;1196
"Podèetrtek";"Kampi";1;70;360;360;1;70;360;360;1;70;360;360;1;70;360;360;1;70;360;360;1;70;360;360;1;70;360;360;1;70;360;360
"Podèetrtek";"Ostali nastanitveni objekti";...;188;710;699;...;189;712;703;...;185;686;676;...;172;645;637;...;193;702;691;...;187;703;687;...;185;694;676;...;182;677;656
"Ptuj";"Skupine nastanitvenih objektov - SKUPAJ";...;477;1206;1079;...;476;1203;1076;...;480;1218;1092;...;501;1263;1139;...;502;1266;1147;...;503;1378;1160;...;504;1387;1168;...;523;1431;1207
"Ptuj";"Hoteli in podobni nastanitveni objekti";8;223;482;429;7;219;471;419;7;212;450;403;7;212;447;402;8;217;458;413;7;206;435;390;7;206;435;390;8;219;462;417
"Ptuj";"Kampi";1;120;277;252;1;120;277;252;1;120;277;252;1;120;277;252;1;120;277;252;1;128;400;280;1;128;400;280;1;128;400;280
"Ptuj";"Ostali nastanitveni objekti";...;134;447;398;...;137;455;405;...;148;491;437;...;169;539;485;...;165;531;482;...;169;543;490;...;170;552;498;...;176;569;510
"Radenci";"Skupine nastanitvenih objektov - SKUPAJ";...;491;813;799;...;491;814;802;...;491;811;801;...;493;859;853;...;496;817;815;...;496;817;815;...;499;864;862;...;483;792;790
"Radenci";"Hoteli in podobni nastanitveni objekti";5;428;669;664;5;428;670;665;5;428;669;664;5;428;669;664;4;419;646;646;4;419;646;646;4;419;646;646;4;419;646;646
"Radenci";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Radenci";"Ostali nastanitveni objekti";...;63;144;135;...;63;144;137;...;63;142;137;...;65;190;189;...;77;171;169;...;77;171;169;...;80;218;216;...;64;146;144
"Rogaška Slatina";"Skupine nastanitvenih objektov - SKUPAJ";...;1040;1955;1811;...;1034;1951;1807;...;947;1974;1784;...;963;2038;1881;...;950;1988;1857;...;1102;2313;2150;...;948;1997;1830;...;949;2019;1853
"Rogaška Slatina";"Hoteli in podobni nastanitveni objekti";11;920;1653;1538;11;920;1653;1538;12;870;1741;1586;12;842;1701;1573;11;814;1604;1513;12;957;1902;1791;11;795;1582;1476;11;795;1582;1476
"Rogaška Slatina";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Rogaška Slatina";"Ostali nastanitveni objekti";...;120;302;273;...;114;298;269;...;77;233;198;...;121;337;308;...;136;384;344;...;145;411;359;...;153;415;354;...;154;437;377
"Šmarješke Toplice";"Skupine nastanitvenih objektov - SKUPAJ";...;302;573;537;...;292;568;553;...;289;573;560;...;291;583;569;...;261;503;493;...;245;449;442;...;244;444;439;...;249;453;449
"Šmarješke Toplice";"Hoteli in podobni nastanitveni objekti";3;257;441;438;3;257;470;467;3;257;470;467;3;257;470;467;2;234;413;413;1;219;380;380;1;219;380;380;1;219;380;380
"Šmarješke Toplice";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Šmarješke Toplice";"Ostali nastanitveni objekti";...;45;132;99;...;35;98;86;...;32;103;93;...;34;113;102;...;27;90;80;...;26;69;62;...;25;64;59;...;30;73;69
"Šoštanj";"Skupine nastanitvenih objektov - SKUPAJ";...;234;465;462;...;235;490;487;...;228;418;415;...;287;721;665;...;258;585;529;...;257;552;498;...;259;558;556;...;259;558;556
"Šoštanj";"Hoteli in podobni nastanitveni objekti";1;216;387;387;1;216;387;387;1;216;387;387;1;243;517;463;1;216;387;333;1;216;387;333;1;216;387;387;1;216;387;387
"Šoštanj";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Šoštanj";"Ostali nastanitveni objekti";...;18;78;75;...;19;103;100;...;12;31;28;...;44;204;202;...;42;198;196;...;41;165;165;...;43;171;169;...;43;171;169
"Veržej";"Skupine nastanitvenih objektov - SKUPAJ";...;391;1011;782;...;393;1022;792;...;299;908;640;...;297;903;636;...;291;888;623;...;291;893;623;...;290;888;618;...;290;888;618
"Veržej";"Hoteli in podobni nastanitveni objekti";4;98;308;196;4;98;308;196;4;98;308;196;4;98;308;196;3;92;294;184;3;92;294;184;3;92;294;184;3;92;294;184
"Veržej";"Kampi";1;200;400;400;1;200;400;400;1;140;420;280;1;140;420;280;1;140;420;280;1;140;420;280;1;140;420;280;1;140;420;280
"Veržej";"Ostali nastanitveni objekti";...;93;303;186;...;95;314;196;...;61;180;164;...;59;175;160;...;59;174;159;...;59;179;159;...;58;174;154;...;58;174;154
"Zreèe";"Skupine nastanitvenih objektov - SKUPAJ";...;601;1938;1608;...;607;1942;1643;...;599;1932;1614;...;586;1865;1570;...;633;1964;1667;...;633;1943;1663;...;636;1937;1654;...;644;1937;1657
"Zreèe";"Hoteli in podobni nastanitveni objekti";10;326;816;691;10;325;798;691;10;328;800;681;10;328;790;680;12;378;890;779;12;374;876;779;12;389;905;802;12;389;918;802
"Zreèe";"Kampi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Zreèe";"Ostali nastanitveni objekti";...;275;1122;917;...;282;1144;952;...;271;1132;933;...;258;1075;890;...;255;1074;888;...;259;1067;884;...;247;1032;852;...;255;1019;855
"GORSKE OBÈINE";"Skupine nastanitvenih objektov - SKUPAJ";...;11349;35471;32512;...;11375;35605;32523;...;11795;38636;35394;...;11580;38028;34858;...;11820;39311;35921;...;11876;39516;36155;...;11813;39851;36325;...;12108;41556;37970
"GORSKE OBÈINE";"Hoteli in podobni nastanitveni objekti";193;4801;11797;10655;194;4853;11758;10527;188;4699;11292;10199;180;4641;11254;10191;184;4724;11582;10503;182;4724;11401;10295;180;4520;11155;9995;190;4613;11407;10272
"GORSKE OBÈINE";"Kampi";25;2302;6421;6411;24;2197;5955;5945;26;2547;8350;8330;27;2569;8225;8225;27;2488;8310;8307;31;2566;8734;8691;33;2651;9000;8957;34;2699;9328;9192
"GORSKE OBÈINE";"Ostali nastanitveni objekti";...;4246;17253;15446;...;4325;17892;16051;...;4549;18994;16865;...;4370;18549;16442;...;4608;19419;17111;...;4586;19381;17169;...;4642;19696;17373;...;4796;20821;18506
