"Prenoèitvene zmogljivosti po: OBÈINE, SKUPINE NASTANITVENIH OBJEKTOV,"
"LETO , MERITVE"

"ZDRAVILIŠKE OBÈINE"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";1727
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";6045
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";5348
" ";" ";"2014"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";1737
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";6135
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";5448
" ";" ";"2015"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";1762
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";6158
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";5473
" ";" ";"2016"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";1806
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";6221
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";5539
"Brežice"
" ";"Hoteli in podobni nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";12
" ";" ";" ";"Število sob";675
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1727
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1405
" ";" ";"2009"
" ";" ";" ";"Število objektov";11
" ";" ";" ";"Število sob";614
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1583
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1256
" ";" ";"2010"
" ";" ";" ";"Število objektov";11
" ";" ";" ";"Število sob";603
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1546
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1213
" ";" ";"2011"
" ";" ";" ";"Število objektov";11
" ";" ";" ";"Število sob";692
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1724
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1396
" ";" ";"2012"
" ";" ";" ";"Število objektov";11
" ";" ";" ";"Število sob";695
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1730
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1408
" ";" ";"2013"
" ";" ";" ";"Število objektov";13
" ";" ";" ";"Število sob";702
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1747
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1424
" ";" ";"2014"
" ";" ";" ";"Število objektov";12
" ";" ";" ";"Število sob";691
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1731
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1406
" ";" ";"2015"
" ";" ";" ";"Število objektov";13
" ";" ";" ";"Število sob";697
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1748
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1419
" ";" ";"2016"
" ";" ";" ";"Število objektov";12
" ";" ";" ";"Število sob";694
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";1737
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";1416
" ";"Kampi"
" ";" ";"2008"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2009"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2010"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2011"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2012"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2013"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2014"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2015"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";" ";"2016"
" ";" ";" ";"Število objektov";1
" ";" ";" ";"Število sob";700
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";2400
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";2400
" ";"Ostali nastanitveni objekti"
" ";" ";"2008"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";108
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";447
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";437
" ";" ";"2009"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";137
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";572
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";561
" ";" ";"2010"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";169
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";667
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";633
" ";" ";"2011"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";163
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";688
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";633
" ";" ";"2012"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";176
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";730
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";679
" ";" ";"2013"
" ";" ";" ";"Število objektov";...
" ";" ";" ";"Število sob";182
" ";" ";" ";"Zmogljivosti - ležišèa - SKUPAJ";762
" ";" ";" ";"Zmogljivosti - ležišèa - stalna";699
" ";" ";"2014"
